id,value,name,isParent
5348,130983,黄骅市,FALSE
5352,130984,河间市,FALSE
5358,131000,廊坊市本级,FALSE
5363,131002,安次区,FALSE
5367,131003,广阳区,FALSE
5370,131022,固安县,FALSE
5374,131023,永清县,FALSE
5378,131024,香河县,FALSE
5382,131025,大城县,FALSE
5386,131026,文安县,FALSE
5389,131028,大厂回族自治县,FALSE
5393,131081,霸州市,FALSE
5398,131082,三河市,FALSE
5404,131100,衡水市本级,FALSE
5408,131102,桃城区,FALSE
5411,131121,枣强县,FALSE
5415,131122,武邑县,FALSE
5418,131123,武强县,FALSE
5422,131124,饶阳县,FALSE
5426,131125,安平县,FALSE
5430,131126,故城县,FALSE
5435,131127,景县,FALSE
5439,131128,阜城县,FALSE
5442,131181,冀州市,FALSE
5446,131182,深州市,FALSE
5453,140100,太原市本级,FALSE
5457,140105,小店区,FALSE
5461,140106,迎泽区,FALSE
5465,140107,杏花岭区,FALSE
5469,140108,尖草坪区,FALSE
5473,140109,万柏林区,FALSE
5477,140110,晋源区,FALSE
5481,140121,清徐县,FALSE
5485,140122,阳曲县,FALSE
5489,140123,娄烦县,FALSE
5493,140181,古交市,FALSE
5499,140200,大同市本级,FALSE
5503,140202,城区,FALSE
5507,140203,矿区,FALSE
5510,140211,南郊区,FALSE
5514,140212,新荣区,FALSE
5518,140221,阳高县,FALSE
5523,140222,天镇县,FALSE
5527,140223,广灵县,FALSE
5531,140224,灵丘县,FALSE
5535,140225,浑源县,FALSE
5539,140226,左云县,FALSE
5543,140227,大同县,FALSE
5549,140300,阳泉市本级,FALSE
5553,140302,城区,FALSE
5557,140303,矿区,FALSE
5561,140311,郊区,FALSE
5565,140321,平定县,FALSE
5569,140322,盂县,FALSE
5575,140400,长治市本级,FALSE
5579,140402,城区,FALSE
5583,140411,郊区,FALSE
5587,140421,长治县,FALSE
5591,140423,襄垣县,FALSE
5595,140424,屯留县,FALSE
5599,140425,平顺县,FALSE
5603,140426,黎城县,FALSE
5607,140427,壶关县,FALSE
5611,140428,长子县,FALSE
5615,140429,武乡县,FALSE
5619,140430,沁县,FALSE
5623,140431,沁源县,FALSE
5627,140481,潞城市,FALSE
5633,140500,晋城市本级,FALSE
5637,140502,城区,FALSE
5641,140521,沁水县,FALSE
5645,140522,阳城县,FALSE
5649,140524,陵川县,FALSE
5653,140525,泽州县,FALSE
5657,140581,高平市,FALSE
5663,140600,朔州市本级,FALSE
5667,140602,朔城区,FALSE
5671,140603,平鲁区,FALSE
5675,140621,山阴县,FALSE
5679,140622,应县,FALSE
5683,140623,右玉县,FALSE
5688,140624,怀仁县,FALSE
5694,140700,晋中市本级,FALSE
5698,140702,榆次区,FALSE
5702,140721,榆社县,FALSE
5706,140722,左权县,FALSE
5710,140723,和顺县,FALSE
5713,140724,昔阳县,FALSE
5717,140725,寿阳县,FALSE
5721,140726,太谷县,FALSE
5725,140727,祁县,FALSE
5730,140728,平遥县,FALSE
5734,140729,灵石县,FALSE
5738,140781,介休市,FALSE
5744,140800,运城市本级,FALSE
5748,140802,盐湖区,FALSE
5752,140821,临猗县,FALSE
5757,140822,万荣县,FALSE
5761,140823,闻喜县,FALSE
5765,140824,稷山县,FALSE
5769,140825,新绛县,FALSE
5773,140826,绛县,FALSE
5776,140827,垣曲县,FALSE
5780,140828,夏县,FALSE
5784,140829,平陆县,FALSE
5787,140830,芮城县,FALSE
5791,140881,永济市,FALSE
5795,140882,河津市,FALSE
5801,140900,忻州市本级,FALSE
5805,140902,忻府区,FALSE
5809,140921,定襄县,FALSE
5813,140922,五台县,FALSE
5817,140923,代县,FALSE
5821,140924,繁峙县,FALSE
5824,140925,宁武县,FALSE
5828,140926,静乐县,FALSE
5832,140927,神池县,FALSE
5836,140928,五寨县,FALSE
5839,140929,岢岚县,FALSE
5844,140930,河曲县,FALSE
5848,140931,保德县,FALSE
5852,140932,偏关县,FALSE
5855,140981,原平市,FALSE
5861,141000,临汾市本级,FALSE
5865,141002,尧都区,FALSE
5869,141021,曲沃县,FALSE
5873,141022,翼城县,FALSE
5877,141023,襄汾县,FALSE
5881,141024,洪洞县,FALSE
5885,141025,古县,FALSE
5889,141026,安泽县,FALSE
5894,141027,浮山县,FALSE
5898,141028,吉县,FALSE
5902,141029,乡宁县,FALSE
5906,141030,大宁县,FALSE
5910,141031,隰县,FALSE
5914,141032,永和县,FALSE
5918,141033,蒲县,FALSE
5922,141034,汾西县,FALSE
5926,141081,侯马市,FALSE
5930,141082,霍州市,FALSE
5935,141100,吕梁市本级,FALSE
5940,141102,离石区,FALSE
5943,141121,文水县,FALSE
5946,141122,交城县,FALSE
5950,141123,兴县,FALSE
5954,141124,临县,FALSE
5958,141125,柳林县,FALSE
5963,141126,石楼县,FALSE
5967,141127,岚县,FALSE
5971,141128,方山县,FALSE
5975,141129,中阳县,FALSE
5979,141130,交口县,FALSE
5983,141181,孝义市,FALSE
5987,141182,汾阳市,FALSE
5995,150100,呼和浩特市本级,FALSE
6000,150102,新城区,FALSE
6004,150103,回民区,FALSE
6008,150104,玉泉区,FALSE
6011,150105,赛罕区,FALSE
6015,150121,土默特左旗,FALSE
6019,150122,托克托县,FALSE
6022,150123,和林格尔县,FALSE
6026,150124,清水河县,FALSE
6030,150125,武川县,FALSE
6036,150200,包头市本级,FALSE
6040,150202,东河区,FALSE
6044,150203,昆都仑区,FALSE
6048,150204,青山区,FALSE
6051,150205,石拐区,FALSE
6055,150206,白云矿区,FALSE
6059,150207,九原区,FALSE
6063,150221,土默特右旗,FALSE
6068,150222,固阳县,FALSE
6072,150223,达尔罕茂明安联合旗,FALSE
6077,150300,乌海市本级,FALSE
6081,150302,海勃湾区,FALSE
6085,150303,海南区,FALSE
6089,150304,乌达区,FALSE
6094,150400,赤峰市本级,FALSE
6099,150402,红山区,FALSE
6103,150403,元宝山区,FALSE
6107,150404,松山区,FALSE
6110,150421,阿鲁科尔沁旗,FALSE
6114,150422,巴林左旗,FALSE
6119,150423,巴林右旗,FALSE
6122,150424,林西县,FALSE
6126,150425,克什克腾旗,FALSE
6131,150426,翁牛特旗,FALSE
6134,150428,喀喇沁旗,FALSE
6139,150429,宁城县,FALSE
6143,150430,敖汉旗,FALSE
6148,150500,通辽市本级,FALSE
6151,150502,科尔沁区,FALSE
6155,150521,科尔沁左翼中旗,FALSE
6159,150522,科尔沁左翼后旗,FALSE
6164,150523,开鲁县,FALSE
6168,150524,库伦旗,FALSE
6172,150525,奈曼旗,FALSE
6175,150526,扎鲁特旗,FALSE
6179,150581,霍林郭勒市,FALSE
6185,150600,鄂尔多斯市本级,FALSE
6189,150602,东胜区,FALSE
6194,150621,达拉特旗,FALSE
6198,150622,准格尔旗,FALSE
6201,150623,鄂托克前旗,FALSE
6205,150624,鄂托克旗,FALSE
6210,150625,杭锦旗,FALSE
6214,150626,乌审旗,FALSE
6218,150627,伊金霍洛旗,FALSE
6223,150700,呼伦贝尔市本级,FALSE
6227,150702,海拉尔区,FALSE
6232,150721,阿荣旗,FALSE
6235,150722,莫力达瓦达斡尔族自治旗,FALSE
6240,150723,鄂伦春自治旗,FALSE
6243,150724,鄂温克族自治旗,FALSE
6247,150725,陈巴尔虎旗,FALSE
6251,150726,新巴尔虎左旗,FALSE
6255,150727,新巴尔虎右旗,FALSE
6257,150781,满洲里市,FALSE
6259,150782,牙克石市,FALSE
6261,150783,扎兰屯市,FALSE
6263,150784,额尔古纳市,FALSE
6265,150785,根河市,FALSE
6268,150800,巴彦淖尔市本级,FALSE
6270,150802,临河区,FALSE
6272,150821,五原县,FALSE
6274,150822,磴口县,FALSE
6276,150823,乌拉特前旗,FALSE
6278,150824,乌拉特中旗,FALSE
6280,150825,乌拉特后旗,FALSE
6282,150826,杭锦后旗,FALSE
6285,150900,乌兰察布市本级,FALSE
6287,150902,集宁区,FALSE
6289,150921,卓资县,FALSE
6291,150922,化德县,FALSE
6293,150923,商都县,FALSE
6295,150924,兴和县,FALSE
6297,150925,凉城县,FALSE
6299,150926,察哈尔右翼前旗,FALSE
6301,150927,察哈尔右翼中旗,FALSE
6303,150928,察哈尔右翼后旗,FALSE
6305,150929,四子王旗,FALSE
6307,150981,丰镇市,FALSE
7192,152200,兴安盟本级,FALSE
6310,152201,乌兰浩特市,FALSE
6312,152202,阿尔山市,FALSE
6314,152221,科尔沁右翼前旗,FALSE
6316,152222,科尔沁右翼中旗,FALSE
6318,152223,扎赉特旗,FALSE
6320,152224,突泉县,FALSE
7194,152500,锡林郭勒盟本级,FALSE
6323,152501,二连浩特市,FALSE
6325,152502,锡林浩特市,FALSE
6327,152522,阿巴嘎旗,FALSE
6329,152523,苏尼特左旗,FALSE
6331,152524,苏尼特右旗,FALSE
6333,152525,东乌珠穆沁旗,FALSE
6335,152526,西乌珠穆沁旗,FALSE
6337,152527,太仆寺旗,FALSE
6339,152528,镶黄旗,FALSE
6341,152529,正镶白旗,FALSE
6343,152530,正蓝旗,FALSE
6345,152531,多伦县,FALSE
7196,152900,阿拉善盟本级,FALSE
6348,152921,阿拉善左旗,FALSE
6350,152922,阿拉善右旗,FALSE
6352,152923,额济纳旗,FALSE
6356,210100,沈阳市本级,FALSE
6358,210102,和平区,FALSE
6360,210103,沈河区,FALSE
6362,210104,大东区,FALSE
6364,210105,皇姑区,FALSE
6366,210106,铁西区,FALSE
6368,210111,苏家屯区,FALSE
6370,210112,东陵区,FALSE
6372,210113,沈北新区,FALSE
6374,210114,于洪区,FALSE
6376,210122,辽中县,FALSE
6378,210123,康平县,FALSE
6380,210124,法库县,FALSE
6382,210181,新民市,FALSE
6385,210200,大连市本级,FALSE
6387,210202,中山区,FALSE
6389,210203,西岗区,FALSE
6391,210204,沙河口区,FALSE
6393,210211,甘井子区,FALSE
6395,210212,旅顺口区,FALSE
6397,210213,金州区,FALSE
6399,210224,长海县,FALSE
6401,210281,瓦房店市,FALSE
6403,210282,普兰店市,FALSE
6405,210283,庄河市,FALSE
6408,210300,鞍山市本级,FALSE
6410,210302,铁东区,FALSE
6412,210303,铁西区,FALSE
6414,210304,立山区,FALSE
6416,210311,千山区,FALSE
6418,210321,台安县,FALSE
6420,210323,岫岩满族自治县,FALSE
6422,210381,海城市,FALSE
6425,210400,抚顺市本级,FALSE
6427,210402,新抚区,FALSE
6429,210403,东洲区,FALSE
6431,210404,望花区,FALSE
6433,210411,顺城区,FALSE
6435,210421,抚顺县,FALSE
6437,210422,新宾满族自治县,FALSE
6439,210423,清原满族自治县,FALSE
6442,210500,本溪市本级,FALSE
6444,210502,平山区,FALSE
6446,210503,溪湖区,FALSE
6448,210504,明山区,FALSE
6450,210505,南芬区,FALSE
6452,210521,本溪满族自治县,FALSE
6454,210522,桓仁满族自治县,FALSE
6457,210600,丹东市本级,FALSE
6459,210602,元宝区,FALSE
6461,210603,振兴区,FALSE
6463,210604,振安区,FALSE
6465,210624,宽甸满族自治县,FALSE
6467,210681,东港市,FALSE
6469,210682,凤城市,FALSE
6472,210700,锦州市本级,FALSE
6474,210702,古塔区,FALSE
6476,210703,凌河区,FALSE
6478,210711,太和区,FALSE
6480,210726,黑山县,FALSE
6482,210727,义县,FALSE
6484,210781,凌海市,FALSE
6486,210782,北镇市,FALSE
6489,210800,营口市本级,FALSE
6491,210802,站前区,FALSE
6493,210803,西市区,FALSE
6495,210804,鲅鱼圈区,FALSE
6497,210811,老边区,FALSE
6499,210881,盖州市,FALSE
6501,210882,大石桥市,FALSE
6504,210900,阜新市本级,FALSE
6506,210902,海州区,FALSE
6508,210903,新邱区,FALSE
6510,210904,太平区,FALSE
6512,210905,清河门区,FALSE
6514,210911,细河区,FALSE
6516,210921,阜新蒙古族自治县,FALSE
6518,210922,彰武县,FALSE
6521,211000,辽阳市本级,FALSE
6523,211002,白塔区,FALSE
6525,211003,文圣区,FALSE
6527,211004,宏伟区,FALSE
6529,211005,弓长岭区,FALSE
6531,211011,太子河区,FALSE
6533,211021,辽阳县,FALSE
6535,211081,灯塔市,FALSE
6538,211100,盘锦市本级,FALSE
6540,211102,双台子区,FALSE
6542,211103,兴隆台区,FALSE
6544,211121,大洼县,FALSE
6546,211122,盘山县,FALSE
6549,211200,铁岭市本级,FALSE
6551,211202,银州区,FALSE
6553,211204,清河区,FALSE
6555,211221,铁岭县,FALSE
6557,211223,西丰县,FALSE
6559,211224,昌图县,FALSE
6561,211281,调兵山市,FALSE
6563,211282,开原市,FALSE
6566,211300,朝阳市本级,FALSE
6568,211302,双塔区,FALSE
6570,211303,龙城区,FALSE
6572,211321,朝阳县,FALSE
6574,211322,建平县,FALSE
6576,211324,喀喇沁左翼蒙古族自治县,FALSE
6578,211381,北票市,FALSE
6580,211382,凌源市,FALSE
